Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_000262465.1	ASM26246v1	Frankia sp. QA3		QA3					Annotation submitted by DOE Joint Genome Institute	7590853	Chromosome	2012-06-19	AJWA01	130116	7590853							454: Illumina	DOE Joint Genome Institute	PRJNA63325	SAMN02256510	6546	6033	460		Frankia	98.87	
GCF_000262465.1	ASM26246v1	Frankia sp. QA3		QA3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7590853	Chromosome	2012-06-19	AJWA01	130116	7590853							454: Illumina	DOE Joint Genome Institute	PRJNA63325	SAMN02256510	6390	6112	227		Frankia	98.87	
GCA_007990715.1	ASM799071v1	Nocardia seriolae NBRC 15557		NBRC 15557					Annotation submitted by National Institute of Technology and Evaluation	7606457	Contig	2019-08-01	BJWY01	45757								454 GS-FLX Titanium; Illumina HiSeq 1000	National Institute of Technology and Evaluation	PRJDB182	SAMD00169714	7304	7232		assembly from type material	Nocardia	96.09	4.82
GCF_007990715.1	ASM799071v1	Nocardia seriolae NBRC 15557		NBRC 15557					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7606457	Contig	2019-08-01	BJWY01	45757								454 GS-FLX Titanium; Illumina HiSeq 1000	National Institute of Technology and Evaluation	PRJDB182	SAMD00169714	7271	6979	223	assembly from type material	Nocardia	96.09	4.82
GCA_002926165.1	ASM292616v1	Micromonospora chalcea		DSM 43026					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7002789	Contig	2018-02-13	MAGP01	83875								Illumina MiSeq	Newcastle University	PRJNA326336	SAMN05276295	6284	6091	132	assembly from type material	Micromonospora	96.89	4.02
GCF_002926165.1	ASM292616v1	Micromonospora chalcea		DSM 43026					GCF_002926165.1-RS_2024_03_29	7002789	Contig	2018-02-13	MAGP01	83875								Illumina MiSeq	Newcastle University	PRJNA326336	SAMN05276295	6409	6235	112	assembly from type material	Micromonospora	96.89	4.02
GCA_008124795.1	ASM812479v1	Nitrosomonas communis		Nm2					Annotation submitted by DOE Joint Genome Institute	3847768	Contig	2019-08-29	VNHT01	47804								Illumina HiSeq	DOE Joint Genome Institute	PRJNA330478	SAMN12255869	3693	3628		assembly from type material	Nitrosomonas	94.96	5.22
GCF_008124795.1	ASM812479v1	Nitrosomonas communis		Nm2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3847768	Contig	2019-08-29	VNHT01	47804								Illumina HiSeq	DOE Joint Genome Institute	PRJNA330478	SAMN12255869	3632	3464	120	assembly from type material	Nitrosomonas	94.96	5.22
GCA_900115095.1	IMG-taxon 2634166331 annotated assembly	Actinomadura madurae		DSM 43067					Annotation submitted by DOE - JOINT GENOME INSTITUTE	10255144	Scaffold	2016-11-05	FOVH01	393747	401555								DOE - JOINT GENOME INSTITUTE	PRJEB17130	SAMN04489713	9494	9401		assembly from type material	Actinomadura	96.04	9.07
GCF_900115095.1	IMG-taxon 2634166331 annotated assembly	Actinomadura madurae		DSM 43067					GCF_900115095.1-RS_2024_03_24	10255144	Scaffold	2016-11-05	FOVH01	393747	401555								DOE - JOINT GENOME INSTITUTE	PRJEB17130	SAMN04489713	9545	9339	106	assembly from type material	Actinomadura	96.04	9.07
GCA_000317225.1	FisPCC7521_1.0	Fischerella thermalis PCC 7521		PCC 7521						5438272	Contig	2012-12-05	AJLL01	98340								454	Heinrich-Heine-University Duesseldorf	PRJNA104969	SAMN02469885				assembly from type material	Fischerella	98.47	0.53
GCF_000317225.1	FisPCC7521_1.0	Fischerella thermalis PCC 7521		PCC 7521					GCF_000317225.1-RS_2024_04_10	5438272	Contig	2012-12-05	AJLL01	98340								454	Heinrich-Heine-University Duesseldorf	PRJNA104969	SAMN02469885	4691	4466	175	assembly from type material	Fischerella	98.47	0.53
GCA_018467155.1	HG01891.pri.mat.f1_v2	Homo sapiens					HG01891	female		3022936209	Scaffold	2021-05-24	JAGYVN01	81112077	81112077							PacBio Sequel	UCSC Genomics Institute	PRJNA723023	SAMN17861236							
GCA_018506965.1	HG005.pri.mat.f1_v2	Homo sapiens					NA24631	male		3029677445	Scaffold	2021-05-26	JAHEPN01	62203274	69736411							PacBio Sequel	UCSC Genomics Institute	PRJNA727429	SAMN03283350							
GCA_018472865.1	HG01978.pri.mat.f1_v2	Homo sapiens					HG01978	female		3051852830	Contig	2021-05-24	JAGYVR01	60487953								PacBio Sequel	UCSC Genomics Institute	PRJNA726176	SAMN17861662							
GCA_018469875.1	HG02622.pri.mat.f1_v2	Homo sapiens					HG02622	female		3046089411	Contig	2021-05-24	JAHAON01	60041455								PacBio Sequel	UCSC Genomics Institute	PRJNA725855	SAMN17861664							
GCA_018466985.1	HG02559.pri.mat.f1_v2	Homo sapiens					HG02559	female		3040515213	Contig	2021-05-24	JAGYVJ01	59525942								PacBio Sequel	UCSC Genomics Institute	PRJNA723019	SAMN17861239							
GCA_018466845.1	HG02257.pri.mat.f1_v2	Homo sapiens					HG02257	female		3031054780	Scaffold	2021-05-24	JAGYVH01	59044574	59044574							PacBio Sequel	UCSC Genomics Institute	PRJNA723017	SAMN17861237							
GCA_018467005.1	HG02486.alt.pat.f1_v2	Homo sapiens					HG02486	male		2930935689	Scaffold	2021-05-24	JAGYVM01	58491195	58491195							PacBio Sequel	UCSC Genomics Institute	PRJNA723020	SAMN17861238							
GCA_018466835.1	HG02257.alt.pat.f1_v2	Homo sapiens					HG02257	female		3042496887	Contig	2021-05-24	JAGYVI01	57982120								PacBio Sequel	UCSC Genomics Institute	PRJNA723016	SAMN17861237							
GCA_018506945.1	HG005.alt.pat.f1_v2	Homo sapiens					NA24631	male		2937775295	Scaffold	2021-05-26	JAHEPO01	57820726	58303677							PacBio Sequel	UCSC Genomics Institute	PRJNA727428	SAMN03283350							
GCA_018466855.1	HG02559.alt.pat.f1_v2	Homo sapiens					HG02559	female		3024156283	Scaffold	2021-05-24	JAGYVK01	57249657	57249657							PacBio Sequel	UCSC Genomics Institute	PRJNA723018	SAMN17861239							
GCA_018471075.1	HG01106.alt.pat.f1_v2	Homo sapiens					HG01106	male		2927007346	Contig	2021-05-24	JAHAMC01	57173280								PacBio Sequel	UCSC Genomics Institute	PRJNA726228	SAMN17861658							
GCA_018467165.1	HG01891.alt.pat.f1_v2	Homo sapiens					HG01891	female		3043232268	Scaffold	2021-05-24	JAGYVO01	57096483	57096483							PacBio Sequel	UCSC Genomics Institute	PRJNA723022	SAMN17861236							
GCA_018469405.1	HG01258.pri.mat.f1_v2	Homo sapiens					HG01258	male		3032403722	Scaffold	2021-05-24	JAGYYU01	56644858	56644858							PacBio Sequel	UCSC Genomics Institute	PRJNA725606	SAMN17861233							
GCA_018472765.1	HG00735.pri.mat.f1_v2	Homo sapiens					HG00735	female		3037778542	Scaffold	2021-05-24	JAHBCG01	56474489	56474489							PacBio Sequel	UCSC Genomics Institute	PRJNA726279	SAMN17861655							
GCA_018472725.1	HG01071.alt.pat.f1_v2	Homo sapiens					HG01071	female		3057222025	Scaffold	2021-05-24	JAHBCF01	55592407	55592407							PacBio Sequel	UCSC Genomics Institute	PRJNA726276	SAMN17861657							
GCA_018469415.1	HG03516.alt.pat.f1_v2	Homo sapiens					HG03516	female		3067004974	Scaffold	2021-05-24	JAGYYT01	55482364	55482364							PacBio Sequel	UCSC Genomics Institute	PRJNA725603	SAMN17861241							
GCA_018467015.1	HG02486.pri.mat.f1_v2	Homo sapiens					HG02486	male		3030645860	Scaffold	2021-05-24	JAGYVL01	55069743	55069743							PacBio Sequel	UCSC Genomics Institute	PRJNA723021	SAMN17861238							
GCA_018471515.1	HG00438.pri.mat.f1_v2	Homo sapiens					HG00438	female		3035719151	Contig	2021-05-24	JAHBCA01	54936949								PacBio Sequel	UCSC Genomics Institute	PRJNA726273	SAMN17861652							
GCA_018472575.1	HG00621.alt.pat.f1_v2	Homo sapiens					HG00621	male		2905948993	Contig	2021-05-24	JAHBCD01	54673245								PacBio Sequel	UCSC Genomics Institute	PRJNA726274	SAMN17861653							
GCA_018471545.1	HG01952.pri.mat.f1_v2	Homo sapiens					HG01952	male		3020546425	Contig	2021-05-24	JAHAMD01	54639450								PacBio Sequel	UCSC Genomics Institute	PRJNA726231	SAMN17861661							
GCA_018469665.1	HG01123.pri.mat.f1_v2.1	Homo sapiens					HG01123	female		3012806377	Scaffold	2021-05-24	JAGYYY01	54362305	54362305							PacBio Sequel	UCSC Genomics Institute	PRJNA725610	SAMN17861232							
GCA_018472695.1	HG01928.pri.mat.f1_v2	Homo sapiens					HG01928	male		3025944486	Contig	2021-05-24	JAGYVP01	53717995								PacBio Sequel	UCSC Genomics Institute	PRJNA726174	SAMN17861660							
GCA_018472715.1	HG00735.alt.pat.f1_v2	Homo sapiens					HG00735	female		3033541617	Scaffold	2021-05-24	JAHBCH01	53422923	53422923							PacBio Sequel	UCSC Genomics Institute	PRJNA726278	SAMN17861655							
GCA_018472845.1	HG01978.alt.pat.f1_v2	Homo sapiens					HG01978	female		3055071491	Scaffold	2021-05-24	JAGYVS01	52814149	52814149							PacBio Sequel	UCSC Genomics Institute	PRJNA726175	SAMN17861662							
GCA_018469965.1	HG01358.alt.pat.f1_v2.1	Homo sapiens					HG01358	male		2932540871	Scaffold	2021-05-24	JAGYZB01	52440137	52440137							PacBio Sequel	UCSC Genomics Institute	PRJNA725611	SAMN17861234							
GCA_018469925.1	HG02622.alt.pat.f1_v2	Homo sapiens					HG02622	female		3043426064	Scaffold	2021-05-24	JAHAOO01	51206351	51206351							PacBio Sequel	UCSC Genomics Institute	PRJNA725854	SAMN17861664							
GCA_018471105.1	HG00741.alt.pat.f1_v2	Homo sapiens					HG00741	female		3029878036	Scaffold	2021-05-24	JAHALY01	51040418	51040418							PacBio Sequel	UCSC Genomics Institute	PRJNA726224	SAMN17861656							
GCA_018472605.1	HG00621.pri.mat.f1_v2	Homo sapiens					HG00621	male		3023009501	Contig	2021-05-24	JAHBCC01	50294217								PacBio Sequel	UCSC Genomics Institute	PRJNA726275	SAMN17861653							
GCA_018472685.1	HG01071.pri.mat.f1_v2	Homo sapiens					HG01071	female		3012710110	Contig	2021-05-24	JAHBCE01	50125412								PacBio Sequel	UCSC Genomics Institute	PRJNA726277	SAMN17861657							
GCA_018469675.1	HG01258.alt.pat.f1_v2	Homo sapiens					HG01258	male		2915178237	Scaffold	2021-05-24	JAGYYV01	49858426	49858426							PacBio Sequel	UCSC Genomics Institute	PRJNA725605	SAMN17861233							
GCA_018469865.1	HG01358.pri.mat.f1_v2.1	Homo sapiens					HG01358	male		3029571124	Scaffold	2021-05-24	JAGYZA01	48753445	48753445							PacBio Sequel	UCSC Genomics Institute	PRJNA725612	SAMN17861234							
GCA_018472595.1	HG00438.alt.pat.f1_v2	Homo sapiens					HG00438	female		3025118465	Scaffold	2021-05-24	JAHBCB01	48061544	48061544							PacBio Sequel	UCSC Genomics Institute	PRJNA726272	SAMN17861652							
GCA_018471345.1	HG01106.pri.mat.f1_v2	Homo sapiens					HG01106	male		3035829013	Scaffold	2021-05-24	JAHAMB01	47714433	47714433							PacBio Sequel	UCSC Genomics Institute	PRJNA726229	SAMN17861658							
GCA_018469705.1	HG01361.alt.pat.f1_v2	Homo sapiens					HG01361	female		3010067136	Scaffold	2021-05-24	JAGYYX01	47178056	47178056							PacBio Sequel	UCSC Genomics Institute	PRJNA725607	SAMN17861235							
GCA_018470425.1	HG02717.alt.pat.f1_v2	Homo sapiens					HG02717	male		2946102667	Scaffold	2021-05-24	JAHAOS01	46513843	46513843							PacBio Sequel	UCSC Genomics Institute	PRJNA725858	SAMN17861666							
GCA_018472705.1	HG01928.alt.pat.f1_v2	Homo sapiens					HG01928	male		2923053911	Scaffold	2021-05-24	JAGYVQ01	45697985	45697985							PacBio Sequel	UCSC Genomics Institute	PRJNA726173	SAMN17861660							
GCA_018469685.1	HG01361.pri.mat.f1_v2	Homo sapiens					HG01361	female		3025297046	Contig	2021-05-24	JAGYYW01	45122217								PacBio Sequel	UCSC Genomics Institute	PRJNA725608	SAMN17861235							
GCA_018469425.1	HG03516.pri.mat.f1_v2	Homo sapiens					HG03516	female		3033463069	Contig	2021-05-24	JAGYYS01	44773628								PacBio Sequel	UCSC Genomics Institute	PRJNA725604	SAMN17861241							
GCA_018469695.1	HG01123.alt.pat.f1_v2.1	Homo sapiens					HG01123	female		3014197469	Scaffold	2021-05-24	JAGYYZ01	44719827	44719827							PacBio Sequel	UCSC Genomics Institute	PRJNA725609	SAMN17861232							
GCA_018506975.1	HG00733.pri.mat.f1_v2	Homo sapiens						female		3026516595	Scaffold	2021-05-26	JAHEPP01	44647564	44647564							PacBio Sequel	UCSC Genomics Institute	PRJNA727433	SAMN00006581							
GCA_018471555.1	HG01952.alt.pat.f1_v2	Homo sapiens					HG01952	male		2913263982	Contig	2021-05-24	JAHAME01	44250376								PacBio Sequel	UCSC Genomics Institute	PRJNA726230	SAMN17861661							
GCA_018469935.1	HG02717.pri.mat.f1_v2	Homo sapiens					HG02717	male		3038304112	Scaffold	2021-05-24	JAHAOR01	43942241	43942241							PacBio Sequel	UCSC Genomics Institute	PRJNA725859	SAMN17861666							
GCA_018503285.1	NA18906.alt.pat.f1_v2	Homo sapiens					NA18906	female		3046330261	Contig	2021-05-26	JAHEOO01	43522948								PacBio Sequel	UCSC Genomics Institute	PRJNA727342	SAMN13957875							
GCA_018471525.1	HG02148.alt.pat.f1_v2	Homo sapiens					HG02148	female		3026089995	Contig	2021-05-24	JAHAMG01	41874143								PacBio Sequel	UCSC Genomics Institute	PRJNA726232	SAMN17861663							
GCA_018471095.1	HG00741.pri.mat.f1_v2	Homo sapiens					HG00741	female		3036685287	Contig	2021-05-24	JAHALX01	41001116								PacBio Sequel	UCSC Genomics Institute	PRJNA726225	SAMN17861656							
GCA_018506955.1	HG00733.alt.pat.f1_v2	Homo sapiens						female		3042264782	Scaffold	2021-05-26	JAHEPQ01	40994157	40994157							PacBio Sequel	UCSC Genomics Institute	PRJNA727432	SAMN00006581							
GCA_018503255.1	NA18906.pri.mat.f1_v2	Homo sapiens					NA18906	female		3055676288	Contig	2021-05-26	JAHEON01	40078400								PacBio Sequel	UCSC Genomics Institute	PRJNA727343	SAMN13957875							
GCA_018471535.1	HG02148.pri.mat.f1_v2	Homo sapiens					HG02148	female		3036119645	Contig	2021-05-24	JAHAMF01	39938933								PacBio Sequel	UCSC Genomics Institute	PRJNA726233	SAMN17861663							
GCA_018506165.1	HG03098.pri.mat.f1_v2	Homo sapiens					HG03098	female		3059506215	Contig	2021-05-26	JAHEPL01	36975063								PacBio Sequel	UCSC Genomics Institute	PRJNA727424	SAMN13957944							
GCA_018471085.1	HG01175.pri.mat.f1_v2	Homo sapiens					HG01175	female		3030719084	Scaffold	2021-05-24	JAHALZ01	35806063	36535860							PacBio Sequel	UCSC Genomics Institute	PRJNA726227	SAMN17861659							
GCA_018506125.1	HG02055.pri.mat.f1_v2	Homo sapiens					HG02055	female		3019573615	Scaffold	2021-05-26	JAHEPJ01	35182712	35182712							PacBio Sequel	UCSC Genomics Institute	PRJNA727422	SAMN12162856							
GCA_018471065.1	HG01175.alt.pat.f1_v2	Homo sapiens					HG01175	female		3030026811	Contig	2021-05-24	JAHAMA01	34803293								PacBio Sequel	UCSC Genomics Institute	PRJNA726226	SAMN17861659							
GCA_018472585.1	HG00673.alt.pat.f1_v2	Homo sapiens					HG00673	male		2925716157	Scaffold	2021-05-24	JAHBBZ01	34669379	34843587							PacBio Sequel	UCSC Genomics Institute	PRJNA726270	SAMN17861654							
GCA_018506155.1	HG03098.alt.pat.f1_v2	Homo sapiens					HG03098	female		2935645968	Scaffold	2021-05-26	JAHEPM01	34383521	34383521							PacBio Sequel	UCSC Genomics Institute	PRJNA727423	SAMN13957944							
GCA_018473315.1	HG03540.alt.pat.f1_v2	Homo sapiens					HG03540	female		3065276644	Scaffold	2021-05-24	JAGYVY01	34159233	34159233							PacBio Sequel	UCSC Genomics Institute	PRJNA726181	SAMN17861670							
GCA_018505855.1	HG02055.alt.pat.f1_v2	Homo sapiens					HG02055	female		2950246117	Contig	2021-05-26	JAHEPK01	34122691								PacBio Sequel	UCSC Genomics Institute	PRJNA727421	SAMN12162856							
GCA_001420765.1	CA P5+P6 CHM1 Assembly Sensitive No Breaking 2.5% Error	Homo sapiens					CHM1	female		2989410695	Contig	2015-11-02	LMBB01	34007701								PacBio	NBACC	PRJNA246220	SAMN02743421							
GCA_018504365.1	HG01109.pri.mat.f1_v2	Homo sapiens					HG01109	female		3035660956	Scaffold	2021-05-26	JAHEOZ01	32308382	32308382							PacBio Sequel	UCSC Genomics Institute	PRJNA727363	SAMN12162846							
GCA_018398555.1	HG002.HiFi_FALCON-Phase.1.contigs	Homo sapiens					NA24385	male		3026987908	Contig	2021-05-19	JADCMA01	32137607								PacBio Sequel	PacBio	PRJNA667513	SAMN03283347							
GCA_018398495.1	HG002.HiFi_FALCON-Phase.0.contigs	Homo sapiens					NA24385	male		3026872481	Contig	2021-05-19	JADCLZ01	32131971								PacBio Sequel	PacBio	PRJNA667514	SAMN03283347							
GCA_018398505.1	HG002_HiFi.IPA_Primary	Homo sapiens					NA24385	male		3027477806	Contig	2021-05-19	JADCLX01	32127878								PacBio Sequel	PacBio	PRJNA667512	SAMN03283347							
GCA_018504375.1	HG01243.pri.mat.f1_v2	Homo sapiens					HG01243	male		3028970783	Contig	2021-05-26	JAHEOX01	31384221								PacBio Sequel	UCSC Genomics Institute	PRJNA727361	SAMN13957917							
GCA_009935935.1	HG03125_prelim_1.0	Homo sapiens					HG03125	female		2923225454	Contig	2020-01-27	JAABOD01	30959455								PacBio	McDonnell Genome Institute at Washington University	PRJNA551670	SAMN12162847							
GCA_001420755.1	CA P5+P6 CHM1 Assembly Sensitive No Breaking 5% Error	Homo sapiens					CHM1	female		2949268618	Contig	2015-11-02	LMBA01	30935124								PacBio	NBACC	PRJNA246220	SAMN02743421							
GCA_018473295.1	HG03540.pri.mat.f1_v2	Homo sapiens					HG03540	female		3048402207	Scaffold	2021-05-24	JAGYVX01	30474809	30474809							PacBio Sequel	UCSC Genomics Institute	PRJNA726182	SAMN17861670							
GCA_018504645.1	HG01109.alt.pat.f1_v2	Homo sapiens					HG01109	female		2921876128	Scaffold	2021-05-26	JAHEPA01	30220240	30220240							PacBio Sequel	UCSC Genomics Institute	PRJNA727362	SAMN12162846							
GCA_009176485.1	melanesian_HSAv1	Homo sapiens					HGDP00550 cell line	female		2830393576	Contig	2019-10-18	SSBD01	30131366								PacBio Sequel; Illumina	University of Washington	PRJNA522307	SAMN10928271							
GCA_002884485.1	CHM13_HSA_v1	Homo sapiens					CHM13	female		2875999248	Contig	2018-01-16	NTIA01	29260714								PacBio; Illumina	University of Washington	PRJNA369439	SAMN03255769							
GCA_018469945.1	HG02630.alt.pat.f1_v2	Homo sapiens					HG02630	female		3053402297	Scaffold	2021-05-24	JAHAOQ01	29253507	29253507							PacBio Sequel	UCSC Genomics Institute	PRJNA725856	SAMN17861665							
GCA_018504045.1	HG01243.alt.pat.f1_v2	Homo sapiens					HG01243	male		2908728425	Scaffold	2021-05-26	JAHEOY01	29118474	29118474							PacBio Sequel	UCSC Genomics Institute	PRJNA727360	SAMN13957917							
GCA_018470465.1	HG02886.alt.pat.f1_v2	Homo sapiens					HG02886	female		3047149239	Contig	2021-05-24	JAHAOU01	29113777								PacBio Sequel	UCSC Genomics Institute	PRJNA725860	SAMN17861667							
GCA_018472565.1	HG00673.pri.mat.f1_v2	Homo sapiens					HG00673	male		3053568501	Contig	2021-05-24	JAHBBY01	29077043								PacBio Sequel	UCSC Genomics Institute	PRJNA726271	SAMN17861654							
GCA_018503275.1	NA19240.pri.mat.f1_v2	Homo sapiens					NA19240	female		3032049516	Scaffold	2021-05-26	JAHEOL01	28898930	28898930							PacBio Sequel	UCSC Genomics Institute	PRJNA727341	SAMN03838746							
GCA_018470455.1	HG02886.pri.mat.f1_v2	Homo sapiens					HG02886	female		3049118064	Contig	2021-05-24	JAHAOT01	28882481								PacBio Sequel	UCSC Genomics Institute	PRJNA725861	SAMN17861667							
GCA_012067775.1	HG00733.Unzip_primary	Homo sapiens					HG00733	female		2893496562	Contig	2020-04-06	JAAIXN01	27810504								PacBio Sequel	PacBio	PRJNA604844	SAMN10182268							
GCA_018472835.1	HG03579.alt.pat.f1_v2	Homo sapiens					HG03579	male		2947164001	Contig	2021-05-24	JAGYVU01	27544339								PacBio Sequel	UCSC Genomics Institute	PRJNA726177	SAMN17861671							
GCA_018503245.1	HG03486.alt.pat.f1_v2	Homo sapiens					HG03486	female		3049588884	Scaffold	2021-05-26	JAHEOQ01	27177738	27177738							PacBio Sequel	UCSC Genomics Institute	PRJNA727344	SAMN08723473							
GCA_018473305.1	HG03453.alt.pat.f1_v2	Homo sapiens					HG03453	female		3050441176	Contig	2021-05-24	JAGYVW01	27053039								PacBio Sequel	UCSC Genomics Institute	PRJNA726179	SAMN17861668							
GCA_018472825.1	HG03579.pri.mat.f1_v2	Homo sapiens					HG03579	male		3035126654	Scaffold	2021-05-24	JAGYVT01	27014075	27014075							PacBio Sequel	UCSC Genomics Institute	PRJNA726178	SAMN17861671							
GCA_013364845.1	MSB_human_1a	Homo sapiens					EgyptRef1	male		2750796422	Contig	2020-06-23	JABMBX01	26733280								PacBio; Illumina	University of Luebeck	PRJNA633987	SAMN14558220							
GCA_012553475.1	Calico_wi38_1.0_pri	Homo sapiens					AG06814-N	female		2926257696	Scaffold	2020-04-20	JAAVWF01	26657620	93171642							PacBio; Illumina; BioNano mapping	Calico Labs	PRJNA612044	SAMN10522465							
